年度/Year,月份/Month,發電站名稱/Name of The Power Station,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kWh),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day,closest_station,溫度_平均,溫度_最高,溫度_最高日期,溫度_最低,溫度_最低日期,累積雨量,降雨日數,最大十分鐘風,最大十分鐘風速日期,最大十分鐘風向,最大瞬間風,最大瞬間風日期,最大瞬間風向,相對濕度_平均,相對濕度_最低,相對濕度_最低日期,氣壓_平均,日照時數
2016,1,大潭電廠太陽光電發電站/Datang Power Plant Solar Power Station,651.42,28418.0,1.41,新屋,15.7,22.4,2016-01-10,4.2,2016-01-24,263.4,20.0,13.1,2016-01-23,30.0,21.2,2016-01-23,20.0,81.0,45.0,2016-01-26,1018.7,46.1
2016,1,中大D/S太陽光電發電站/Zhongda D/S Solar Power Station,40.25,1642.0,1.32,新屋,15.7,22.4,2016-01-10,4.2,2016-01-24,263.4,20.0,13.1,2016-01-23,30.0,21.2,2016-01-23,20.0,81.0,45.0,2016-01-26,1018.7,46.1
2016,1,中部儲運中心太陽光電發電站/Central Storage and Transportation Center Solar Power Station,91.8,4805.0,1.69,臺中,16.8,27.3,2016-01-05,4.4,2016-01-25,204.9,18.0,6.3,2016-01-24,10.0,16.6,2016-01-24,350.0,79.0,33.0,2016-01-26,1009.6,106.2
2016,1,東勢新伯公太陽光電發電站/Dongshi Xinbogong Solar Power Station,115.8,5391.0,1.5,臺中,16.8,27.3,2016-01-05,4.4,2016-01-25,204.9,18.0,6.3,2016-01-24,10.0,16.6,2016-01-24,350.0,79.0,33.0,2016-01-26,1009.6,106.2
2016,1,卓蘭會館太陽光電發電站/Zhuolan Hostel Solar Power Station,41.9,2660.0,2.05,臺中,16.8,27.3,2016-01-05,4.4,2016-01-25,204.9,18.0,6.3,2016-01-24,10.0,16.6,2016-01-24,350.0,79.0,33.0,2016-01-26,1009.6,106.2
2016,1,台中電廠太陽光電發電站/Taichung Power Plant Solar Power Station,2123.04,154455.0,2.35,臺中,16.8,27.3,2016-01-05,4.4,2016-01-25,204.9,18.0,6.3,2016-01-24,10.0,16.6,2016-01-24,350.0,79.0,33.0,2016-01-26,1009.6,106.2
2016,1,台中龍井太陽光電發電站/Taichung Longjing Solar Power Station,6485.94,490214.0,2.44,臺中,16.8,27.3,2016-01-05,4.4,2016-01-25,204.9,18.0,6.3,2016-01-24,10.0,16.6,2016-01-24,350.0,79.0,33.0,2016-01-26,1009.6,106.2
2016,1,后里E/S太陽光電發電站/Houli E/S Solar Power Station,91.125,6386.0,2.26,臺中,16.8,27.3,2016-01-05,4.4,2016-01-25,204.9,18.0,6.3,2016-01-24,10.0,16.6,2016-01-24,350.0,79.0,33.0,2016-01-26,1009.6,106.2
2016,1,嘉義民雄太陽光電發電站/Chiayi Minxiong Solar Power Station,60.0,2666.0,1.43,嘉義,16.9,26.0,2016-01-04,4.9,2016-01-24,139.4,18.0,8.8,2016-01-24,20.0,17.2,2016-01-24,10.0,82.0,43.0,2016-01-26,1016.3,90.7
2016,1,永安鹽灘地太陽光電發電站/Yongan Salt Flats Solar Power Station,4636.8,367955.0,2.56,高雄,19.3,27.7,2016-01-06,7.0,2016-01-25,179.5,12.0,7.1,2016-01-24,360.0,16.0,2016-01-24,340.0,76.0,53.0,2016-01-25,1018.3,120.9
