站名,緯度,經度
大潭電廠太陽光電發電站/Datang Power Plant Solar Power Station, 25.029660, 121.051258
中大D/S太陽光電發電站/Zhongda D/S Solar Power Station, 24.971944, 121.200556 
中部儲運中心太陽光電發電站/Central Storage and Transportation Center Solar Power Station, 24.323175, 120.726434
東勢新伯公太陽光電發電站/Dongshi Xinbogong Solar Power Station, 24.220360, 120.842601
卓蘭會館太陽光電發電站/Zhuolan Hostel Solar Power Station, 24.315090, 120.830569
台中電廠太陽光電發電站/Taichung Power Plant Solar Power Station, 24.214255, 120.492040
台中龍井太陽光電發電站/Taichung Longjing Solar Power Station, 24.208519, 120.494892
后里E/S太陽光電發電站/Houli E/S Solar Power Station, 24.296014, 120.727262
嘉義民雄太陽光電發電站/Chiayi Minxiong Solar Power Station, 23.539493, 120.425713
永安鹽灘地太陽光電發電站/Yongan Salt Flats Solar Power Station, 22.838301, 120.206682
興達電廠太陽光電發電站/Xingda Power Plant Solar Power Station, 22.858930, 120.200647
路北E/S太陽光電發電站/Lubei E/S Solar Power Station, 22.837920, 120.247142
核三廠太陽光電發電站/3rd Nuclear Power Plants Solar Power Station, 21.958140, 120.751856
澎湖尖山太陽光電發電站/Penghu jianshan Solar Power Station, 23.563600, 119.659678
澎湖七美太陽光電發電站/Penghu Qimei Solar Power Station, 23.19373, 119.42216
金門金沙太陽光電發電站/Kinmen Jinsha Solar Power Station, 24.499300, 118.403419
龍潭E/S太陽光電發電站/Longtan E/S Solar Power Station, 24.982757, 121.213608
竹工E/S太陽光電發電站/Zhugong E/S Solar Power Station, 24.893105, 121.092451
中科E/S太陽光電發電站/Zhongke E/S Solar Power Station, 24.201045, 120.607278
彰林E/S太陽光電發電站/Changlin E/S Solar Power Station, 23.928696, 120.455178
台南七股太陽光電發電站/Tainan Qigu Solar Power Station, 23.122532, 120.144460
高雄E/S太陽光電發電站/Kaohsiung E/S Solar Power Station, 22.646408, 120.293862
燕巢倉庫太陽光電發電站/Yanchao Warehouse Solar Power Station, 22.773646, 120.385878
大潭電廠GIS廠房太陽光電發電站/Datang Power Plant GIS Solar Power Station, 25.029660, 121.051258
北部儲運中心太陽光電發電站/Northern Storage and Transportation Center Solar Power Station, 25.026615, 121.060091
彰化彰濱太陽光電發電站/Changhua Changbin Solar Power Station, 24.107319, 120.396063
南投大彎太陽光電發電站/Nantou Dawan Solar Power Station, 23.825017, 120.858643
金門鵲山太陽光電發電站/Kinmen Queshan Solar Power Station, 24.463360, 118.435999
金門塔山太陽光電發電站/Kinmen Tashan Solar Power Station, 24.414256, 118.282213
馬祖珠山太陽光電發電站/Mazu Zhushan Solar Power Station, 26.157700, 119.933000
蘭嶼電廠太陽光電發電站/Lanyu Power Plant Solar Power Station, 22.026200, 121.540000
蘭嶼貯存場太陽光電發電站/Lanyu Storage Unit Solar Power Station, 22.003000, 121.590000
高雄保寧太陽光電發電站/Kaohsiung Baoning Solar Power Station, 22.680334, 120.344035
台南鹽田太陽光電發電站/Tainan salt field Solar Power Station, 23.185434, 120.119092
台中電廠建物太陽光電發電站/Taichung Power Plant Building Solar Power Station, 24.214255, 120.492040
台中電廠GIS廠房太陽光電發電站/Taichung Power Plant GIS Solar Power Station, 24.214255, 120.492040
高雄E/S停車棚太陽光電發電站/Kaohsiung E/S Parking Shed Solar Power Station, 22.646408, 120.293862
鳳山水庫太陽光電發電站/Fengshan Reservoir Solar Power Station, 22.536469, 120.385762
東興淨水場太陽光電發電站/Dongxing Water Treatment Plant Solar Power Station, 24.669758, 120.920246
平鎮淨水場太陽光電發電站/Pingzhen Water Treatment Plant Solar Power Station, 24.927599, 121.191678
大湳淨水場太陽光電發電站/Danan Water Treatment Plant Solar Power Station, 24.971870, 121.285542
龜山第三加壓站太陽光電發電站/Guishan No.3 Pumping Station Solar Power Station, 25.049092, 121.359654
淡水3.5萬噸配水池太陽光電發電站/Danshui Distribution Reservoir(35,000 tons) Solar Power Station, 25.178303, 121.454219
龍潭淨水場太陽光電發電站/Longtan Water Treatment Plant Solar Power Station, 24.844411, 121.241597
澎湖尖山小再太陽光電發電站/Penghu jianshan Small Scale Renewable Energy Solar Power Station, 23.563600, 119.659678
台南七股II太陽光電發電站/Tainan Qigu II Solar Power Station, 23.140239, 120.139298
義竹工作站太陽光電發電站/Yizhu Workhouse Solar Power Station, 23.360972, 120.251999
台南鹽田電氣室太陽光電發電站/Tainan salt field Electrical Room Solar Power Station, 23.185304, 120.119738
嘉義分所太陽光電發電站/Chiayi Agricultural Experiment Branch Solar Power Station, 23.484070, 120.468094
高訓中心太陽光電發電站/Kaohsiung Training Institute Solar Power Station, 22.584899, 120.422123
金門酒廠太陽光電發電站/Kinmen Kaoliang Liquor Inc. Solar Power Station, 24.431162, 118.343928
