年度/Year,月份/Month,發電站名稱/Name of The Power Station,裝置容量(瓩)/Installed Capacity(kW),發電量(度)/Power Generation(kWh),平均單位裝置容量每日發電量/Average of Each Unit Power Generatioon Per Day,closest_station,溫度_平均,溫度_最高,溫度_最低,累積雨量,降雨日數,最大十分鐘風,最大十分鐘風向,最大瞬間風,最大瞬間風向,相對濕度_平均,相對濕度_最低,氣壓_平均,日照時數
2016,1,大潭電廠太陽光電發電站/Datang Power Plant Solar Power Station,651.42,28418.0,1.41,新屋,15.7,22.4,4.2,263.4,20.0,13.1,30.0,21.2,20.0,81.0,45.0,1018.7,46.1
2016,1,中大D/S太陽光電發電站/Zhongda D/S Solar Power Station,40.25,1642.0,1.32,新屋,15.7,22.4,4.2,263.4,20.0,13.1,30.0,21.2,20.0,81.0,45.0,1018.7,46.1
2016,1,中部儲運中心太陽光電發電站/Central Storage and Transportation Center Solar Power Station,91.8,4805.0,1.69,臺中,16.8,27.3,4.4,204.9,18.0,6.3,10.0,16.6,350.0,79.0,33.0,1009.6,106.2
2016,1,東勢新伯公太陽光電發電站/Dongshi Xinbogong Solar Power Station,115.8,5391.0,1.5,臺中,16.8,27.3,4.4,204.9,18.0,6.3,10.0,16.6,350.0,79.0,33.0,1009.6,106.2
2016,1,卓蘭會館太陽光電發電站/Zhuolan Hostel Solar Power Station,41.9,2660.0,2.05,臺中,16.8,27.3,4.4,204.9,18.0,6.3,10.0,16.6,350.0,79.0,33.0,1009.6,106.2
2016,1,台中電廠太陽光電發電站/Taichung Power Plant Solar Power Station,2123.04,154455.0,2.35,臺中,16.8,27.3,4.4,204.9,18.0,6.3,10.0,16.6,350.0,79.0,33.0,1009.6,106.2
2016,1,台中龍井太陽光電發電站/Taichung Longjing Solar Power Station,6485.94,490214.0,2.44,臺中,16.8,27.3,4.4,204.9,18.0,6.3,10.0,16.6,350.0,79.0,33.0,1009.6,106.2
2016,1,后里E/S太陽光電發電站/Houli E/S Solar Power Station,91.125,6386.0,2.26,臺中,16.8,27.3,4.4,204.9,18.0,6.3,10.0,16.6,350.0,79.0,33.0,1009.6,106.2
2016,1,嘉義民雄太陽光電發電站/Chiayi Minxiong Solar Power Station,60.0,2666.0,1.43,嘉義,16.9,26.0,4.9,139.4,18.0,8.8,20.0,17.2,10.0,82.0,43.0,1016.3,90.7
2016,1,永安鹽灘地太陽光電發電站/Yongan Salt Flats Solar Power Station,4636.8,367955.0,2.56,高雄,19.3,27.7,7.0,179.5,12.0,7.1,360.0,16.0,340.0,76.0,53.0,1018.3,120.9
2016,1,興達電廠太陽光電發電站/Xingda Power Plant Solar Power Station,1627.65,126346.0,2.5,臺南,17.3,26.8,5.7,170.9,16.0,12.0,30.0,26.6,50.0,83.0,44.0,1016.5,113.8
2016,1,路北E/S太陽光電發電站/Lubei E/S Solar Power Station,60.03,4854.0,2.61,高雄,19.3,27.7,7.0,179.5,12.0,7.1,360.0,16.0,340.0,76.0,53.0,1018.3,120.9
2016,1,核三廠太陽光電發電站/3rd Nuclear Power Plants Solar Power Station,1458.24,120185.0,2.66,恆春,22.0,30.3,11.4,98.5,13.0,12.0,40.0,25.0,50.0,76.0,55.0,1016.1,116.1
2016,1,澎湖尖山太陽光電發電站/Penghu jianshan Solar Power Station,70.61,3986.0,1.82,澎湖,17.0,23.1,7.7,122.6,17.0,10.8,360.0,24.7,350.0,80.0,54.0,1019.4,49.3
2016,1,澎湖七美太陽光電發電站/Penghu Qimei Solar Power Station,154.56,6114.0,1.28,東吉島,18.1,23.1,8.6,115.9,14.0,23.0,20.0,31.4,10.0,80.0,61.0,1014.7,68.4
2016,1,金門金沙太陽光電發電站/Kinmen Jinsha Solar Power Station,528.0,34445.0,2.1,金門,13.3,21.2,1.3,196.6,17.0,6.9,70.0,14.9,40.0,76.0,37.0,1019.5,80.7
2016,2,大潭電廠太陽光電發電站/Datang Power Plant Solar Power Station,651.42,35842.0,1.77,新屋,14.3,27.0,5.5,82.1,16.0,14.8,40.0,22.1,50.0,77.0,36.0,1020.2,71.4
2016,2,中大D/S太陽光電發電站/Zhongda D/S Solar Power Station,40.25,1929.0,1.55,新屋,14.3,27.0,5.5,82.1,16.0,14.8,40.0,22.1,50.0,77.0,36.0,1020.2,71.4
