站名,緯度,經度
古坑,23.633639,120.551889
竹子湖,25.162078,121.544547
宜蘭,24.763975,121.756528
大武,22.35572,120.90374
彭佳嶼,25.627975,122.079744
淡水,25.164889,121.448906
臺東,22.752211,121.154586
日月潭,23.881325,120.90805
後龍,24.648563,120.831834
永康,23.038386,120.2367
鞍部,25.182586,121.529731
玉山,23.48718,120.95943
臺南,22.99328,120.20492
成功,23.097486,121.373428
阿里山,23.508208,120.813242
新北,24.959207,121.525196
高雄,22.730432,120.312516
臺中,24.145736,120.684075
馬祖,26.169467,119.923158
新竹,24.828575,121.01455
臺北,25.037658,121.514853
花蓮,23.975128,121.613275
澎湖,23.565503,119.563094
恆春,22.003897,120.746339
田中,23.873803,120.581286
東吉島,23.25727,119.66762
蘭嶼,22.0369,121.55843
金門,24.407306,118.289281
基隆,25.133314,121.740475
新屋,25.006725,121.047492
嘉義,23.495925,120.432906
